"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"6";"100nF";"CAP0603-CAP";"0603-CAP";"C1, C4, C5, C8, C9, C12";"Capacitor";"";
"6";"100uf";"DIP-ALUMINUM-100UF-16V(D5-H7MM)";"PC-D5.3MM";"C2, C3, C6, C7, C10, C11";"302030031";"";
"2";"2.2K";"RESISTOR0603";"0603-RES";"R1, R3";"Resistor";"";
"1";"680R";"RESISTOR0603";"0603-RES";"R2";"Resistor";"";
"1";"BY_CC_SA_TEXTTEXT";"BY_CC_SA_TEXTTEXT";"BY_CC_SA_TEXT";"U$48";"BY_CC_SA_TEXT";"";
"16";"ERA-SHROUD";"ERA-SHROUD";"ERA";"J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16";"EuroRack2 - Backplane Connector";"";
"1";"GREEN";"LED-GREEN0603";"LED-0603";"D3";"Green SMD LED";"";
"4";"GREEN-2P-5.0";"SCREW-TERMINAL-GREEN(2P-5.0)";"H2-5.0-10.5X8.0MM";"P1, P2, P3, P4";"320110031";"";
"10";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"H1, H2, H3, H4, H5, H6, H7, H8, H9, H10";"MOUNTING HOLE with drill center marker";"";
"1";"RED";"LED-RED0603";"LED-0603";"D2";"Red SMD LED";"";
"1";"Yellow";"LED-YELLOW0603";"LED-0603";"D1";"Yellow SMD LED";"";
